timestamp,bgw_ms,att1_ms,att2_ms,cloudflare_ms,google_ms
2026-09-01 23:57:47,1.06,1.43,1.68,5.89,6.06
2026-09-01 23:57:48,0.955,1.43,1.86,6.20,6.26
2026-09-01 23:57:49,0.803,1.87,1.85,6.14,5.72
2026-09-01 23:57:50,0.754,1.55,1.73,6.32,6.34
2026-09-01 23:57:51,0.834,1.82,1.78,6.07,6.08
2026-09-01 23:57:52,0.759,1.63,1.60,6.13,5.97
2026-09-01 23:57:54,0.894,1.84,1.75,6.41,6.06
2026-09-01 23:57:55,0.800,1.48,1.87,6.53,6.29
2026-09-01 23:57:56,0.492,1.40,1.50,6.49,6.20
2026-09-01 23:57:57,0.495,1.54,1.70,6.30,6.30
2026-09-01 23:57:58,0.716,1.70,1.58,6.09,6.10
2026-09-01 23:57:59,0.804,1.72,2.06,6.30,5.98
2026-09-01 23:58:00,0.769,1.69,1.72,6.37,6.23
2026-09-01 23:58:01,0.521,1.73,1.95,9.85,9.87
2026-09-01 23:58:02,0.609,2.01,2.35,6.35,6.08
2026-09-01 23:58:03,139,145,133,141,134
2026-09-01 23:58:04,0.809,1.61,1.83,5.77,5.76
2026-09-01 23:58:05,0.795,1.21,2.29,6.19,6.15
2026-09-01 23:58:06,0.834,1.32,1.47,14.9,6.61
2026-09-01 23:58:07,0.845,1.62,1.88,6.34,6.19
2026-09-01 23:58:08,0.839,1.89,1.93,6.30,6.08
2026-09-01 23:58:09,0.361,1.45,1.19,6.32,6.26
2026-09-01 23:58:11,0.330,1.53,0.995,6.20,6.14
2026-09-01 23:58:12,0.732,1.69,1.90,6.22,6.06
2026-09-01 23:58:13,0.801,1.64,1.67,6.31,6.21
2026-09-01 23:58:14,0.710,1.51,1.66,6.12,5.78
2026-09-01 23:58:15,0.794,1.47,0.816,6.39,6.02
2026-09-01 23:58:16,0.848,1.65,1.41,6.37,6.09
2026-09-01 23:58:17,84.3,85.7,85.5,89.1,89.2
2026-09-01 23:58:18,0.720,1.86,1.72,6.09,5.74
2026-09-01 23:58:19,0.799,2.00,1.87,6.50,6.01
2026-09-01 23:58:20,0.584,1.22,2.06,6.31,5.85
2026-09-01 23:58:21,0.258,1.37,1.91,6.26,5.71
2026-09-01 23:58:22,0.767,1.77,1.59,6.35,6.08
2026-09-01 23:58:23,0.818,1.53,1.72,6.48,6.17
2026-09-01 23:58:24,1.32,1.94,1.91,6.46,5.91
2026-09-01 23:58:25,0.676,1.25,1.49,5.95,5.63
2026-09-01 23:58:26,0.768,1.76,1.71,6.49,5.99
2026-09-01 23:58:27,0.621,1.69,1.94,6.24,6.03
2026-09-01 23:58:28,0.745,1.58,1.84,6.15,6.22
2026-09-01 23:58:29,0.752,1.79,1.64,6.56,6.37
2026-09-01 23:58:30,0.723,1.23,1.56,6.21,6.16
2026-09-01 23:58:31,0.308,1.50,1.44,5.63,5.72
2026-09-01 23:58:32,0.761,2.09,2.07,5.84,6.27
2026-09-01 23:58:33,93.9,93.4,93.3,94.1,91.7
2026-09-01 23:58:35,0.786,1.52,1.72,6.32,5.90
2026-09-01 23:58:36,0.624,1.51,1.43,6.31,6.13
2026-09-01 23:58:37,0.827,1.65,1.85,6.19,5.71
2026-09-01 23:58:38,0.701,1.59,2.07,6.21,6.03
2026-09-01 23:58:39,0.387,1.72,1.92,6.34,6.21
2026-09-01 23:58:40,0.712,1.74,1.33,6.39,5.82
2026-09-01 23:58:41,0.785,1.54,1.30,6.43,6.81
2026-09-01 23:58:42,0.716,1.71,1.87,6.14,6.20
2026-09-01 23:58:43,1.43,1.65,1.62,5.80,5.32
2026-09-01 23:58:44,0.727,1.74,1.65,6.21,6.23
2026-09-01 23:58:45,0.830,1.51,1.63,6.36,6.13
2026-09-01 23:58:46,0.766,1.82,1.27,6.31,6.22
2026-09-01 23:58:47,0.717,1.43,1.28,6.31,6.07
2026-09-01 23:58:48,0.826,2.03,1.96,5.91,6.25
2026-09-01 23:58:49,3.62,4.12,2.84,7.65,7.45
2026-09-01 23:58:50,0.780,1.33,1.86,5.36,5.55
2026-09-01 23:58:51,0.843,1.66,2.30,6.04,5.99
2026-09-01 23:58:52,406,408,407,409,407
2026-09-01 23:58:54,0.690,1.72,1.78,6.62,6.30
